metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value
(Z)-1-Methyl-4-(6-methylhept-5-en-2-ylidene)cyclohex-1-ene,-0.14359530317964792,-11.199808212496754,6.285321666014781,-16.009816808019355,0.11764705882352941
Dimethyl sulfone,-0.05243304646479123,-3.958420576502752,6.238304749976315,-7.965945005097445,0.11764705882352941
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",-0.29702128871278005,-22.379058195684543,6.235439179021731,-12.07080968695095,0.11764705882352941
1-Pentadecene,-0.12068033813785917,-9.036759052397215,6.226542919307403,-13.644830556277931,0.11764705882352941
Humulene,-0.08653129453800258,-6.4483649154424905,6.2195676090243355,-8.64407609143541,0.11764705882352941
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",-0.539118710629223,-40.0212820829812,6.214020596632132,-16.47643604224467,0.11764705882352941
"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",-0.09328371457116451,-6.913769894652883,6.211703555382428,-12.480202585471568,0.11764705882352941
"4-Methylcatechol, 2TMS derivative",-0.09739614935114921,-7.182095895940331,6.204396385378928,-12.631291499309759,0.11764705882352941
Phenylethyl Alcohol,-0.14349752557387313,-10.451685909123883,6.18656601494466,-18.29975028549335,0.11764705882352941
Phenylethyl Alcohol,-0.1434789205376363,-10.390131145159122,6.178231267527315,-18.29772553342964,0.11764705882352941
1-Pentadecene,-0.12087129278016205,-8.309392406519414,6.103199454018753,-14.581525824640266,0.11764705882352941
Pentadecane,-0.10424794169093987,-7.104774030863208,6.090697974581553,-11.951057083777865,0.11764705882352941
Phenol,-0.2087038901663628,-13.599550135772189,6.025957633366051,-9.349992303157556,0.11764705882352941
2-Butanone,-0.07855679539051978,-5.0810443473528295,6.015245185667508,-1.5727175653459753,0.11764705882352941
2-Dodecanone,-0.1631675892802143,-10.223646932950766,5.969411601496509,-14.488954063482918,0.11764705882352941
3-Carene,-0.09710411903338209,-6.0201433673495455,5.954121554768563,-8.496446310895335,0.11764705882352941
"Tetradecane, 3-methyl-",-0.13868901653029297,-8.481125236856878,5.934330254754043,-14.600679792023726,0.11764705882352941
8-Heptadecene,-0.146174253599461,-8.611110546643742,5.880438189259843,-14.994056063964717,0.11764705882352941
"9-Octadecene, (E)-",-0.1309695076822203,-7.585318352875365,5.855906874177084,-12.51101123049246,0.11764705882352941
trans-Geranylgeraniol,-0.11838657560767009,-6.794965577946171,5.842888852954902,-11.894653623091761,0.11764705882352941
2-Butanone,-0.5683078457057384,-32.476694061299845,5.8365883418160065,-15.213560523376538,0.11764705882352941
"Butanal, 2-methyl-",-0.04261649381045868,-2.428394231214221,5.832446971075554,-2.6984139287998223,0.11764705882352941
"1H-Cyclopropa[a]naphthalene, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,7,7a-tetramethyl-, [1aR-(1aα,7α,7aα,7bα)]-",-0.14144004888841433,-8.045585845850713,5.829934902183593,-9.076691647924289,0.11764705882352941
"Indole, 3-methyl-",-0.09411311833666933,-5.274627665235093,5.808529629891703,-9.12706378978794,0.11764705882352941
