compound_name,hit_match_factor,match_quality,retention_time,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",931,Excellent,16.12875,0.8627837722724924,0.8621428184363206,0.9132644736573013,0.9300131024812179,0.0681814294480421,-0.13785718156367943,0.9586125675750443,-2.344311885733032,-1.5888383480588493,0.0,-0.32564682302010545,-0.11749359310431479,-0.02857368371758672,0.06496218703433443,-0.47483414758436604,0.11568806043646297,-0.02761254663762942
Benzeneacetaldehyde,930,Excellent,16.684983333333335,-0.8913486819414119,-1.0463479426979267,0.0,-0.24130062296025856,1.170761976946642,-0.42325842423699983,1.2852406979183741,21.80671983958378,-17.969781080479464,0.2669174819505343,-0.49700103152380704,0.5767415757630001,0.4872635540456548,-0.09400943509361233,0.995309822136987,0.5205718374374287,-0.08930567557766614
Benzeneacetaldehyde,896,Good,16.91825,-0.9045797682314474,-0.9268331617184271,-1.0058444807978497,-0.9445587132131017,0.04453957256506993,0.0,-0.7233291130043987,-0.853107767429558,-1.3464659494519535,0.04855301105438707,0.11180522287023588,0.1311280079848154,0.1190285661876005,-0.8836670653468472,0.10419320063076148,0.09542023176855262,0.06406886158087417
Benzeneacetaldehyde,855,Good,16.921833333333332,-0.970509375503964,-0.970509375503964,-0.970509375503964,-0.970509375503964,0.016559603387522208,0.0,-0.6319729882713385,-0.970509375503964,-0.970509375503964,0.0014831525394963,0.03055405845132782,0.03645861026788323,0.029490624496035973,-0.3112023000198439,0.044875455437814946,0.0482837882065289,0.011030538249745075
Benzeneacetaldehyde,963,Excellent,16.925416666666667,-1.0313709300165665,-0.9206790988031748,-0.9937196020678877,-0.7843910955240178,0.054789284968069445,0.0,-0.9513402551125888,-0.8019271703034263,-1.061748778656496,0.04371308879916949,0.08321035473478144,0.08893014263967897,0.07932090119682524,-0.8148410239761342,0.09015717513519603,0.0969784075411297,0.05269019282176886
Benzeneacetaldehyde,956,Excellent,17.07615,0.5657586519144011,0.6059903724798984,0.5744248423488446,0.718808730116443,-0.42557515765115544,-0.5314869546694441,0.7732303606297258,-1.138526001339133,-1.6940200900411893,-0.6771256643733005,-0.08820841282345229,-0.21572065724054043,0.0,0.8867764545060828,-0.40827437742163214,0.05244414946876075,0.05553059089491746
p-Cresol,948,Excellent,18.723333333333336,-1.3434629831703921,-1.2269151167742671,-0.8379201521295844,-1.093762625661883,0.24922824372192215,0.10709367625953504,-0.4659153263812629,0.5683484296899456,-24.780151866248502,0.10637751817810633,0.0,0.367871533956277,0.16207984787041566,-0.3243201701615624,0.19369215691682945,0.10413505132836344,-0.4019446685242294
p-Cresol,959,Excellent,19.279566666666664,-0.8540282392450365,-0.7575674343275635,-0.9567178154797417,-0.5705898365658801,0.0,-0.4877489548395954,1.017982664015503,0.3422264705036141,11.139664767468535,0.26517170179563054,-1.3605516254914325,0.19644819788341947,0.876648312149901,-0.7348282982043695,-0.09364228860342086,0.03976035286234541,0.25828634273452655
p-Cresol,958,Excellent,19.279566666666664,-3.8969237640351833,-2.1110402140739746,-0.6731973083485465,-0.6989294759399821,-0.020183723378279363,0.0,0.4895134823417885,0.7358494722709144,10.511962839443369,0.046127932315703314,-0.5026249928363105,0.3720512648946002,0.30107052406001783,-2.072793972282794,0.11648529134672658,0.08887231487267293,-1.1853452590944167
2-Nonanone,779,Fair,19.329816666666662,-0.9643005129612224,-1.1788740759617595,-0.6751844019048,-0.7285938264669768,0.16261745698280256,0.0580323665005232,-0.4840023459022754,0.7899655488139492,-9.979738378807143,0.45621812805275985,0.0,0.23373946575174875,-0.22842293686528448,0.32481559809519994,0.36840456799804705,0.41949097733455115,-0.2552079873165867
